Name of Course,Type of Course,Number,Term,Expected no. of participants,Turnus,Credits,Additional Links,Language,Long text,Short text,Hours per week in term,Max. participants,Assignment,application period,Responsible Instructors
Text-to-Speech Synthesis,Lecture,134460,SoSe 2022,,Every other semester,3,"https://www.coli.uni-saarland.de/courses/sprachsynthese/2022_SS/tts.html
",english,,,2,,no enrollment,https://www.coli.uni-saarland.de/courses/sprachsynthese/2022_SS/tts.html,"Möbius, Bernd , Univ.-Prof. Dr.
"
Quantitative Model Checking,Advanced lecture,136332,SoSe 2022,,,,"https://dcms.cs.uni-saarland.de/qmc22/
",english,,,,,no enrollment,https://dcms.cs.uni-saarland.de/qmc22/,"Hermanns, Holger , Univ.-Prof. Dr.-Ing.
Maggio, Martina, Univ.-Professorin, Dr.-Ing.
"
Ethics for Nerds,Advanced lecture,136353,SoSe 2022,,,,"https://dcms.cs.uni-saarland.de/ethics_22/
",english,,,,,no enrollment,https://dcms.cs.uni-saarland.de/ethics_22/,"Baum, Kevin , M.A. M.Sc.
Hermanns, Holger , Univ.-Prof. Dr.-Ing.
Sterz, Sarah
"
Automated Reasoning II,Advanced lecture,136354,SoSe 2022,,,,"http://rg1-teaching.mpi-inf.mpg.de/autrea2-ss22/
",english,,,,,no enrollment,http://rg1-teaching.mpi-inf.mpg.de/autrea2-ss22/,"Waldmann, Uwe , Dr.
"
Interaktive Systeme,Lecture,136357,SoSe 2022,,Every other semester,6,"https://hci.cs.uni-saarland.de/lecture-interactive-systems-summer-term-2022/
",english,,,,,no enrollment,https://hci.cs.uni-saarland.de/lecture-interactive-systems-summer-term-2022/,"Schmitz, Martin , Dr.
"
Algorithms for Cryptanalysis,Advanced lecture,136434,SoSe 2022,,,,"https://cms.cispa.saarland/algocrypt_22/
",english,,,,,no enrollment,https://cms.cispa.saarland/algocrypt_22/,"Joux, Antoine , Prof. Dr.
"
Machine Learning Privacy,Advanced lecture,136462,SoSe 2022,,,,"https://cms.cispa.saarland/mlp2022/
",english,,,,,no enrollment,https://cms.cispa.saarland/mlp2022/,"Zhang, Yang , Dr.
"
Formal analysis of real-world security protocols,Advanced lecture,136463,SoSe 2022,,,,"https://cms.cispa.saarland/farwsp22/
",english,,,,,no enrollment,https://cms.cispa.saarland/farwsp22/,"Cremers, Cas , Dr.
"
